ano;capital;UF;Cod.IBGE;codigo_funcao;nome_funcao;valor_empenhado;valor_pago;taxa_execucao_percentual;rank_taxa_execucao;valor_pago_per_capita;rank_pago_per_capita;total_capitais
2024;Maceió - AL;AL;2704302;01;Legislativa;110885761,79;110686766,85;99,82;6;115,22;17;26
2024;Maceió - AL;AL;2704302;04;Administração;729673457,9;713957195,9;97,85;5;743,19;6;26
2024;Maceió - AL;AL;2704302;06;Segurança Pública;1446723,41;954106,76;65,95;25;0,99;23;25
2024;Maceió - AL;AL;2704302;08;Assistência Social;59596743,88;53487669,45;89,75;23;55,68;23;26
2024;Maceió - AL;AL;2704302;09;Previdência Social;486918379,65;486918379,65;100,0;1;506,85;16;26
2024;Maceió - AL;AL;2704302;10;Saúde;1297135226,5;1262955548,42;97,36;5;1314,67;13;26
2024;Maceió - AL;AL;2704302;11;Trabalho;10901404,49;10672032,0;97,9;10;11,11;11;23
2024;Maceió - AL;AL;2704302;12;Educação;803988514,26;687560500,43;85,52;24;715,71;25;26
2024;Maceió - AL;AL;2704302;13;Cultura;86060654,94;70896312,38;82,38;21;73,8;7;26
2024;Maceió - AL;AL;2704302;14;Direitos da Cidadania;16880627,27;11587809,3;68,65;22;12,06;12;24
2024;Maceió - AL;AL;2704302;15;Urbanismo;768891837,05;621941177,29;80,89;22;647,41;12;26
2024;Maceió - AL;AL;2704302;16;Habitação;2168153,21;649674,84;29,96;24;0,68;24;24
2024;Maceió - AL;AL;2704302;17;Saneamento;356823626,13;320724684,28;89,88;14;333,86;4;24
2024;Maceió - AL;AL;2704302;18;Gestão Ambiental;943374,35;939210,55;99,56;2;0,98;25;26
2024;Maceió - AL;AL;2704302;19;Ciência e Tecnologia;5492205,19;4818988,86;87,74;14;5,02;9;16
2024;Maceió - AL;AL;2704302;23;Comércio e Serviços;42261497,78;39903910,76;94,42;10;41,54;6;26
2024;Maceió - AL;AL;2704302;26;Transporte;113078498,16;110968975,0;98,13;8;115,51;13;22
2024;Maceió - AL;AL;2704302;27;Desporto e Lazer;17462968,84;15698671,77;89,9;18;16,34;13;26
2024;Maceió - AL;AL;2704302;28;Encargos Especiais;174548990,06;174547355,28;100,0;4;181,69;23;25
